SITE,PLATAFORMA,E-BIT,RECLAME AQUI
sejabonita.com,shopify,Não,Não
descontosmania.com.br,,Não,Não
tiroleza.com.br,shopify,Não,Não
tornadoshop.com.br,shopify,Não,Não
alusitana.com.pt,shopify,Não,Não
belindahair.com,shopify,Não,Não
estacaodacasa.com,tray,Não,Não
smartwayshopping.com,shopify,Não,Não
tacmedacademy.com,shopify,Não,Não
dealwee.com,shopify,Não,Não
laurahueb.com.br,shopify,Não,Não
gatafunho.com,shopify,Não,Não
ultraglass.com.br,shopify,Não,Não
teklandia.com,shopify,Não,Não
nextstyle.com.br,shopify,Não,Não
paulobattista.com,shopify,Não,Não
planetaclick.com.br,shopify,Não,Não
etnikali.com,shopify,Não,Não
desconline.com,shopify,Não,Não
milformulas.com.br,shopify,Não,Não
vilashopping.com.br,shopify,Não,Não
cadaoferta.com,shopify,Não,Não
yesglamour.com,shopify,Não,Não
onemegastore.com,shopify,Não,Não
algodaodocemodainfantil.com,shopify,Não,Não
penseicomprei.com.br,shopify,Não,Não
tissaberwanger.com,shopify,Não,Não
casadadecoracao.com,shopify,Não,Não
essencialonline.com,shopify,Não,Não
vinogu.com,shopify,Não,Não
grine.pt,shopify,Não,Não
offermix.com.br,shopify,Não,Não
artmaiashop.com,,Não,Não
bamboo-story.com,shopify,Não,Não
poppyshop.com.br,shopify,Não,Não
akitabarato.com,shopify,Não,Não
dezzu.net,shopify,Não,Não
acordar.com.br,shopify,Não,Não
alegremix.com,shopify,Não,Não
igtechnology.com.br,,Não,Não
gaem.com.br,shopify,Não,Não
fliperamagames.com,shopify,Não,Não
viverfacil.com,shopify,Não,Não
essencialonline.com.br,shopify,Não,Não
lojasribeiros.com,shopify,Não,Não
lemondedelamarionnette.com,shopify,Não,Não
planetaoutlet.com,shopify,Não,Não
amallu.com,shopify,Não,Não
pointfitness.com.br,shopify,Não,Não
monsterjuice.com.br,shopify,Não,Não
lpdrop.com,shopify,Não,Não
altaluce.com.br,shopify,Não,Não
olivaras.com,shopify,Não,Não
suaferramenta.com,shopify,Não,Não
finobrilho.com,shopify,Não,Não
vitalmoveis.com.br,shopify,Não,Não
honeycombworkshop.com,,Não,Não
inovesolution.com,shopify,Não,Não
seedstore.com.br,shopify,Não,Não
afrocare.com.br,shopify,Não,Não
enjoystore.net,shopify,Não,Não
boomdeofertas.com,shopify,Não,Não
bitstoys.com,shopify,Não,Não
presentescriativos.net,shopify,Não,Não
lojaesperanca.com,shopify,Não,Não
planod.pt,shopify,Não,Não
comprandocerto.com,shopify,Não,Não
moskanasopa.com.br,shopify,Não,Não
atlanticacenter.com,shopify,Não,Não
stellabernardi.com,shopify,Não,Não
mana-shop.com,shopify,Não,Não
drenafast.com,shopify,Não,Não
wine.pt,shopify,Não,Não
tudookey.com,,Não,Não
laah.com.br,shopify,Não,Não
milispot.com,shopify,Não,Não
minhabusca.com,shopify,Não,Não
negociobom.com,shopify,Não,Não
mouchaowine.pt,,Não,Não
loja1001.com,shopify,Não,Não
lojaprecocerto.com,shopify,Não,Não
dlstore.com.br,shopify,Não,Não
bluemonkey.com.br,shopify,Não,Não
bellacharme.com,,Não,Não
meubambino.com,shopify,Não,Não
donaro.com.br,shopify,Não,Não
sitiohumayta.com.br,shopify,Não,Não
comprevirtual.com,shopify,Não,Não
fortweb.com.br,,Não,Não
promocoesnanet.com,shopify,Não,Não
minastemtudo.com,,Não,Não
lojativa.com,shopify,Não,Não
hman.com.br,shopify,Não,Não
sovantagem.com,shopify,Não,Não
alumpe.com,shopify,Não,Não
videira.com.br,shopify,Não,Não
cronot.com,,Não,Não
trecosetarecos.com,shopify,Não,Não
lojadopescador.pt,shopify,Não,Não
mgofertas.com,shopify,Não,Não
instintoalfa.com,,Não,Não
moonshopp.com,shopify,Não,Não
serpentinabikini.com,shopify,Não,Não
atticoo.com,shopify,Não,Não
allspeeddrive.com,shopify,Não,Não
mazzori.com,,Não,Não
cordeiroshop.com,,Não,Não
4seasonsboutique.com,shopify,Não,Não
fotofamily.com.br,,Não,Não
closetdobebe.com,shopify,Não,Não
jeitomeu.com.br,shopify,Não,Não
lojaspanama.com,shopify,Não,Não
cidartes.com,shopify,Não,Não
simplebox.com.br,shopify,Não,Não
lacatita.com,shopify,Não,Não
lalumiere.com.br,shopify,Não,Não
alumei.com,shopify,Não,Não
atorini.com,shopify,Não,Não
rafeiro.com.br,shopify,Não,Não
colossauro.com,shopify,Não,Não
lojadiscovoador.com,shopify,Não,Não
trizes.com,shopify,Não,Não
outletonline-store.com,shopify,Não,Não
simpiscinas.com,shopify,Não,Não
tekofertas.com,shopify,Não,Não
maisquebonita.com,shopify,Não,Não
ofertiz.com,shopify,Não,Não
xeetah.com,shopify,Não,Não
qualityplace.com.br,shopify,Não,Não
doguinhos.com,shopify,Não,Não
mundobela.com,,Não,Não
saint-store.com,shopify,Não,Não
coffestock.com,shopify,Não,Não
piscinascarapia.com.br,shopify,Não,Não
homemestiloso.com,shopify,Não,Não
bestylish.pt,shopify,Não,Não
themineshop.com,shopify,Não,Não
liviaribeiro.com,shopify,Não,Não
loveartstore.com,shopify,Não,Não
meumiau.com,shopify,Não,Não
hotlider.com,shopify,Não,Não
planetplantbased.com,shopify,Não,Não
ofertasaqui.com.br,shopify,Não,Não
madamevenus.com,shopify,Não,Não
weofertas.com,shopify,Não,Não
carrinhourbano.com,shopify,Não,Não
limaoazul.com,,Não,Não
pontooferta.com,shopify,Não,Não
floreata.com,shopify,Não,Não
ipreco.com.br,shopify,Não,Não
petsale.com.br,shopify,Não,Não
villaflorence.com.br,shopify,Não,Não
kojicards.com,shopify,Não,Não
magazineplay.com,shopify,Não,Não
showdecompra.com,,Não,Não
esporteclub.com,shopify,Não,Não
lotustore.com,shopify,Não,Não
posso.com.br,shopify,Não,Não
wecanglow.com,shopify,Não,Não
hypefitness.com.br,,Não,Não
worldmagazine.com.br,shopify,Não,Não
fourshop.com.br,shopify,Não,Não
oldiscool.com.br,shopify,Não,Não
zompee.com,shopify,Não,Não
yamajewelry.com,shopify,Não,Não
shop-eureka.com,shopify,Não,Não
pontocompra.com,shopify,Não,Não
sweetmens.com,shopify,Não,Não
myalistore.com,shopify,Não,Não
lupz.com.br,shopify,Não,Não
alamandahome.com.br,shopify,Não,Não
manubaby.com,shopify,Não,Não
norteshoping.com.br,shopify,Não,Não
piershopping.com,shopify,Não,Não
cristinacordeiro.com.br,shopify,Não,Não
coisasdemulher.pt,shopify,Não,Não
delaprak.com.br,,Não,Não
rayontechnologies.com,shopify,Não,Não
cheguemais.com,shopify,Não,Não
huntersimports.com,shopify,Não,Não
megalojabrasil.com,shopify,Não,Não
somaskatearte.com,shopify,Não,Não
molasparameias.com,shopify,Não,Não
guiadaestetica.com,shopify,Não,Não
lopz.com.br,shopify,Não,Não
filostore.com.br,shopify,Não,Não
imperiomaster.com,shopify,Não,Não
techcompras.com.br,shopify,Não,Não
cliqueoferta.com,shopify,Não,Não
casainter.com,shopify,Não,Não
floriculturabellaflor.com.br,,Não,Não
granloja.com,,Não,Não
comprafeita.com,shopify,Não,Não
shoppingemcasa.com,shopify,Não,Não
lafry.com.br,shopify,Não,Não
acharmosa.com,,Não,Não
megaairsoft.com,,Não,Não
mamangava.com.br,shopify,Não,Não
lopstore.com,shopify,Não,Não
shorfs.com,,Não,Não
cmcompras.com,tray,Não,Não
megawills.com,shopify,Não,Não
jfvendas.com,shopify,Não,Não
techplusstore.com,shopify,Não,Não
sobrebarba.com.br,shopify,Não,Não
mahile.com,shopify,Não,Não
usebem.com,shopify,Não,Não
amotudo.com,shopify,Não,Não
ianmagazine.com,shopify,Não,Não
poderdecompra.com,shopify,Não,Não
twofriendsstore.com,shopify,Não,Não
gonzalli.com,shopify,Não,Não
calangoshop.com,,Não,Não
mygeekplace.com,shopify,Não,Não
agoraoferta.com,shopify,Não,Não
totaldescontos.com,shopify,Não,Não
aguadecocostore.com,shopify,Não,Não
colomboshop.com.br,shopify,Não,Não
belamorenastore.com,shopify,Não,Não
gamaofertas.com,shopify,Não,Não
lafemini.com,shopify,Não,Não
recollectionlab.com,shopify,Não,Não
inovespace.com,shopify,Não,Não
worldoferta.com,shopify,Não,Não
findloja.com,shopify,Não,Não
biudiu.com,shopify,Não,Não
casaeaconchego.com,tray,Não,Não
caprichokids.com.br,shopify,Não,Não
motoresusados.pt,shopify,Não,Não
nerdeste.com,shopify,Não,Não
lucabrasil.com,shopify,Não,Não
erigui.com,shopify,Não,Não
eulevei.com,,Não,Não
melonbrasil.com,shopify,Não,Não
tudoexpresso.com,shopify,Não,Não
thelotus.com.br,shopify,Não,Não
shopfashion.com.br,shopify,Não,Não
oliverimportados.com.br,shopify,Não,Não
caexpress.com.br,shopify,Não,Não
charmeco.com.br,shopify,Não,Não
allegrobr.com.br,shopify,Não,Não
lojafiladelfia.com,shopify,Não,Não
vialuna.com.br,shopify,Não,Não
ezutus.com,vtex,Não,Não
mix360.com.br,tray,Não,Não
sucessofeminino.com,shopify,Não,Não
moffo.com.br,shopify,Não,Não
merchantcenter.com.br,shopify,Não,Não
whats7.com,,Não,Não
utilidadesfemininas.com,shopify,Não,Não
agenciaonlife.com,,Não,Não
portaldodesconto.com,shopify,Não,Não
dalmashop.com,shopify,Não,Não
soulmood.pt,shopify,Não,Não
botegashop.com,shopify,Não,Não
innovecommerce.com,shopify,Não,Não
planetadobebe.com,,Não,Não
beautynow.com.br,shopify,Não,Não
horadejogar.com.br,,Não,Não
cometaexpress.com,shopify,Não,Não
lojadosaromas.com,shopify,Não,Não
mileons.com,shopify,Não,Não
oticasvitoria.com.br,shopify,Não,Não
amoraomeupet.com,shopify,Não,Não
healthbest.pt,shopify,Não,Não
hibrazilmarket.com,shopify,Não,Não
pequistore.com,shopify,Não,Não
rsouto.com.br,shopify,Não,Não
mrblue.es,shopify,Não,Não
atlanticabrasil.com,shopify,Não,Não
saricollections.com,shopify,Não,Não
brunoeletro.com,shopify,Não,Não
multpet.com,shopify,Não,Não
lojaimperatriz.com,shopify,Não,Não
cabanafitness.com,shopify,Não,Não
pensouachou.com,shopify,Não,Não
rioyoga.com.br,tray,Não,Não
jessegomes.com,shopify,Não,Não
forhome.pt,shopify,Não,Não
alojadopet.com,shopify,Não,Não
boutie.com.br,shopify,Não,Não
bubershop.com,shopify,Não,Não
cafeeciafoz.com,shopify,Não,Não
bellezura.com,shopify,Não,Não
facilitei.com.br,shopify,Não,Não
pkshopz.com,,Não,Não
nativafitness.com,shopify,Não,Não
minamihara.com,shopify,Não,Não
semprebela.net,shopify,Não,Não
sal-store.com,shopify,Não,Não
magazineletro.com.br,shopify,Não,Não
ofertanet.com.br,shopify,Não,Não
brinquedoeducativo.com,shopify,Não,Não
uptudo.com,shopify,Não,Não
lojananet.com,shopify,Não,Não
happycolor.com.br,shopify,Não,Não
lojacristal.com.br,shopify,Não,Não
malybu.com,shopify,Não,Não
exonimalia.com,shopify,Não,Não
biocrystal.com.br,shopify,Não,Não
paulanicoletti.com.br,shopify,Não,Não
dvineskin.com,shopify,Não,Não
wannabevintage.com,shopify,Não,Não
iade.com.br,shopify,Não,Não
tudodeoferta.com,shopify,Não,Não
crackids.com,shopify,Não,Não
andressamoraes.com,shopify,Não,Não
vidaelazer.com.br,shopify,Não,Não
prazersexshop.com.br,shopify,Não,Não
kauaistore.com.br,shopify,Não,Não
lucidaletra.com,shopify,Não,Não
duodois.com,shopify,Não,Não
lojaversatil.com,shopify,Não,Não
brasilfox.com,,Não,Não
aliancaexpress.com,shopify,Não,Não
churras.com.br,shopify,Não,Não
mroliver.com.br,shopify,Não,Não
pontobrshop.com,shopify,Não,Não
comprafree.com,shopify,Não,Não
powerropes.com.br,shopify,Não,Não
karpeg.com,shopify,Não,Não
lavivien.com,shopify,Não,Não
julietaaparicio.com,shopify,Não,Não
teleimport.com.br,shopify,Não,Não
guiacomprafacil.com,,Não,Não
ommastudio.com,shopify,Não,Não
bemvestidastore.com,shopify,Não,Não
strap.com.br,shopify,Não,Não
ofertauau.com,shopify,Não,Não
yesstore.com.br,shopify,Não,Não
malx.com.br,,Não,Não
xiaomidobrasil.com,shopify,Não,Não
zeigershop.com,shopify,Não,Não
novvo.com.br,shopify,Não,Não
inovibes.com,,Não,Não
megadestaque.com,shopify,Não,Não
oririo.com,shopify,Não,Não
madeireiro.com.br,shopify,Não,Não
lojatnt.com,shopify,Não,Não
viapele.com,,Não,Não
overbeats.com,shopify,Não,Não
1banpresents.com,shopify,Não,Não
luxodemulher.com,,Não,Não
paraisodasofertas.com,shopify,Não,Não
snowofertas.com,shopify,Não,Não
meevle.com,shopify,Não,Não
maquiloendro.pt,shopify,Não,Não
liberdadeshop.com,shopify,Não,Não
paneshopping.com,shopify,Não,Não
smog.com.br,shopify,Não,Não
precosincriveis.com,shopify,Não,Não
lojapipocando.com,shopify,Não,Não
barbabrasil.com,shopify,Sim,Não
innovaexpress.com.br,tray,Não,Não
goodfortune.com.br,shopify,Não,Não
belopresente.com,,Não,Não
pontooriginal.com,shopify,Não,Não
sartoriaperuomo.com,shopify,Não,Não
esoisso.com,shopify,Não,Não
drafmil.com.br,shopify,Não,Não
blockstock.com.br,,Não,Não
lojamegacenter.com,shopify,Não,Não
descontada.com,shopify,Não,Não
primp.com.br,shopify,Não,Não
morenastore.com.br,shopify,Não,Não
belabeauty.com.br,shopify,Não,Não
amplotech.com.br,,Não,Não
sosutilidades.com,shopify,Não,Não
descontoquente.com,shopify,Não,Não
kelper.com.br,shopify,Não,Não
yellowhome.com.br,,Não,Não
viz1one.com,shopify,Não,Não
houdshop.com,shopify,Não,Não
amandaborges.com.br,shopify,Não,Não
tudobembarato.com,,Não,Não
coteq.pt,shopify,Não,Não
mrcloset.com.br,shopify,Não,Não
orbshop.com.br,shopify,Não,Não
multipromocoes.com,shopify,Não,Não
dejake.com,shopify,Não,Não
kingwalks.com,shopify,Não,Não
zeeplo.com,shopify,Não,Não
vitrinedeprodutos.com,shopify,Não,Não
peixenalinha.com,shopify,Não,Não
lojavidasaudavel.com,shopify,Não,Não
vilafeminina.com,shopify,Não,Não
livroembranco.com.br,shopify,Não,Não
vetordigital.com,shopify,Não,Não
ulovemi.com,shopify,Não,Não
fastbay.com.br,shopify,Não,Não
ofertasmega.com,shopify,Não,Não
brazify.com,shopify,Não,Não
colorscase.com,shopify,Não,Não
ciclofacil.com,,Não,Não
bronsol.com,shopify,Não,Não
kindahome.com,shopify,Não,Não
loky.com.br,shopify,Não,Não
magazineglobal.com.br,,Não,Não
mercadejo.com,shopify,Não,Não
code.pt,shopify,Não,Não
precosbaixo.com,shopify,Não,Não
toquerendo.com.br,shopify,Não,Não
lojasclick.com.br,,Não,Não
papelassinado.com.br,shopify,Não,Não
abcdar.io,shopify,Não,Não
token.ac,shopify,Não,Não
icasebrasil.com.br,shopify,Não,Não
maves.com.br,shopify,Não,Não
geeksclub.com.br,,Não,Não
enoix.com.br,,Não,Não
yorgus.com.br,shopify,Não,Não
rosadosventosporcelanas.com.br,shopify,Não,Não
cantinhodasmeninas.com.br,shopify,Não,Não
lojalumiere.com.br,shopify,Não,Não
espelhofeminino.com,shopify,Não,Não
th5eventos.com.br,shopify,Não,Não
claudiaoliveiraofficial.com.br,shopify,Não,Não
erium.pt,shopify,Não,Não
kitesul.com.br,shopify,Não,Não
cauchocolates.com.br,shopify,Não,Não
youloveyou.pt,shopify,Não,Não
sofico.pt,shopify,Não,Não
cyberart.com.br,shopify,Não,Não
gramapontal.com.br,shopify,Não,Não
overstreet.com.br,shopify,Não,Não
anotherplace.com.br,shopify,Não,Não
julie.pt,shopify,Não,Não
clerkzdecor.com.br,shopify,Não,Não
casaoutdoor.com.br,shopify,Não,Não
copanobaypress-gallery.com,shopify,Não,Não
gemmaonline.com.br,shopify,Não,Não
apartamento61.com.br,shopify,Não,Não
buzzy4shots.com.br,shopify,Não,Não
carretaotrevo.com.br,shopify,Não,Não
crazybulk.pt,shopify,Não,Não
antenashow.com,shopify,Não,Não
unikk.net,shopify,Não,Não
allowstore.com,shopify,Não,Não
alli-shop.com,,Não,Não
arribasdodouro.com,shopify,Não,Não
amopresente.com,,Não,Não
belabelinda.com,shopify,Não,Não
aureacreatiohm.com,shopify,Não,Não
adoroshopping.com,shopify,Não,Não
boutiquedosprincipes.com,shopify,Não,Não
brusinhas.com,shopify,Não,Não
branchstack.com,,Não,Não
brennheisen.com,shopify,Não,Não
companysstore.com,shopify,Não,Não
carenb.com,shopify,Não,Não
conceitoprime.com,shopify,Não,Não
echaia.com.br,,Não,Não
chicompra.com,,Não,Não
criamaxtrading.com,shopify,Não,Não
daialu.com,shopify,Não,Não
compramaisbrasil.com,shopify,Não,Não
dheksa.com,shopify,Não,Não
escambobrasil.com,shopify,Não,Não
etesu.com,shopify,Não,Não
estudiotatu.com,shopify,Não,Não
eyesinthebox.com,shopify,Não,Não
flouwear.com,vtex,Não,Não
filipejeronimo.com,shopify,Não,Não
facilitaweb.com,shopify,Não,Não
garimpostore.com,shopify,Não,Não
globalviagem.com,shopify,Não,Não
golojas.com,,Não,Não
grandescontos.com,shopify,Não,Não
goen3.com,shopify,Não,Não
highqualityshopping.com,shopify,Não,Não
i9bem.com,shopify,Não,Não
itenscollections.com,shopify,Não,Não
junandco.com,,Não,Não
kfbranding.com,shopify,Não,Não
kdahora.com,,Não,Não
levaoferta.com,shopify,Não,Não
littleballoondesign.com,shopify,Não,Não
liveshopp.com,shopify,Não,Não
lojapride.com,shopify,Não,Não
lojatrilha.com,shopify,Não,Não
lojadasgurias.com,shopify,Não,Não
lulicrespin.com,shopify,Não,Não
mardeprodutos.com,shopify,Não,Não
maxideli.com,shopify,Não,Não
memomad.com,shopify,Não,Não
m2gbrindes.com,shopify,Não,Não
meubrinco.com,shopify,Não,Não
motorsharp.com,shopify,Não,Não
mimosbrasil.com,,Não,Não
nautikay.com,shopify,Não,Não
nivestore.com,shopify,Não,Não
panelaria.com,shopify,Não,Não
petshopbaby.com,,Não,Não
mundodaoferta.com,shopify,Não,Não
ofeertas.com,shopify,Não,Não
pettyps.com,shopify,Não,Não
pointviral.com,shopify,Não,Não
novassolucoes.com,,Não,Não
preco-baixo.com,shopify,Não,Não
bimm.com.br,,Não,Não
pecauto.com.br,,Não,Não
bocadeanjo.com.br,,Não,Não
oconline.com.br,mercadoshops,Sim,Não
newoldparts.com.br,mercadoshops,Não,Não
fitpulley.com,mercadoshops,Não,Não
acquaterra.com.br,mercadoshops,Não,Não
rlta.com.br,mercadoshops,Não,Não
usadaomoveis.com.br,mercadoshops,Não,Não
mangatadesign.com,,Não,Não
achadosdodia.com,shopify,Não,Não
lojashopexpress.com,mercadoshops,Não,Não
toff.com.br,,Não,Não
plasteng.com.br,mercadoshops,Não,Não
escoladesabedoria.com,mercadoshops,Não,Não
tecnotominformatica.com,,Não,Não
anosdourados.com.br,mercadoshops,Não,Não
mimoss.com.br,,Não,Não
supercol.com.br,mercadoshops,Não,Não
ssshop.com.br,mercadoshops,Não,Não
shoppingdasmotopecas.com.br,mercadoshops,Não,Não
ntcopiadoras.com.br,mercadoshops,Não,Não
m4m.com.br,,Não,Não
actors.com.br,,Não,Não
jfh.com.br,mercadoshops,Não,Não
ricaria.com.br,,Não,Não
tedymotos.com.br,nuvemshop,Não,Não
primegraf.com.br,mercadoshops,Não,Não
dagon.com.br,nuvemshop,Não,Não
audiosystems.com.br,mercadoshops,Não,Não
s3x.com.br,,Não,Não
fortloc.com.br,mercadoshops,Não,Não
fdmextintores.com.br,mercadoshops,Não,Não
industriasupertela.com,mercadoshops,Não,Não
smcafes.com.br,,Não,Não
espacouniformes.com.br,,Não,Não
goldenpartes.com,mercadoshops,Não,Não
paradetectores.com.br,nuvemshop,Sim,Não
ehacks.com.br,,Não,Não
dronehorizonstore.com,mercadoshops,Não,Não
ecbonilha.com.br,,Não,Não
qgdamidia.com.br,mercadoshops,Não,Não
leandroexcursoes.com.br,mercadoshops,Não,Não
portexx.com.br,mercadoshops,Não,Não
intervisionhair.com.br,mercadoshops,Não,Não
patentealta.com,,Não,Não
benneditapan.com.br,mercadoshops,Não,Não
lbmotos.com.br,mercadoshops,Não,Não
itubalancas.com.br,mercadoshops,Não,Não
abrofer.com.br,mercadoshops,Não,Não
aguimarandrade.com.br,mercadoshops,Não,Não
asa100store.com.br,mercadoshops,Não,Não
casaraodomecanico.com.br,mercadoshops,Não,Não
beabox.com.br,nuvemshop,Não,Não
caopanhiapet.com.br,nuvemshop,Não,Não
conceitoartesanal.com.br,,Não,Não
compradeimportados.com.br,,Não,Não
equiperol.com.br,mercadoshops,Não,Não
fiquebonita.com.br,mercadoshops,Não,Não
fireimpressao.com.br,,Não,Não
desmonteaquarius.com.br,mercadoshops,Não,Não
foxgamer.com.br,,Não,Não
fmescritorio.com.br,mercadoshops,Não,Não
isobed.com.br,mercadoshops,Não,Não
forminhasdoces.com.br,,Não,Não
lista.mercadolivre.com.br,mercadoshops,Não,Não
isamar.com.br,nuvemshop,Não,Não
mafecom.com.br,,Não,Não
multiplicdigital.com.br,mercadoshops,Não,Não
portaldasbombas.com.br,mercadoshops,Não,Não
resplendore.com.br,,Não,Não
seg-tron.ind.br,,Não,Não
seujulio.com.br,nuvemshop,Não,Não
tendencias.mercadolivre.com.br,mercadoshops,Não,Não
suprisystem.com.br,mercadoshops,Não,Não
kipecasmotos.com.br,,Não,Não
hausvet.com.br,,Não,Não
2dbrindes.com.br,,Não,Não
hiltonminiaturas.com,nuvemshop,Não,Não
artbox3d.store,mercadoshops,Não,Não
kadoshibrasil.com.br,shopify,Não,Não
territoriodochinelo.com.br,nuvemshop,Não,Não
lmproducaomultimidia.com.br,,Não,Não
advancedshop.com.br,nuvemshop,Não,Não
tokfix.com.br,mercadoshops,Não,Não
maueartstore.com,shopify,Não,Não
cindyferrarezi.com,vtex,Não,Não
lerikids.com.br,,Não,Não
onlyonesports.com.br,mercadoshops,Não,Não
lafranceimports.com.br,mercadoshops,Não,Não
apptve.com,,Não,Não
lagaresimports.com,shopify,Não,Não
olivermedicalcenter.com,,Não,Não
mishop.com.br,nuvemshop,Sim,Não
ankerdobrasil.com.br,,Não,Não
tjprodutosnaturais.com,,Não,Não
4elev.com,mercadoshops,Não,Não
alemayadesivos.com,,Não,Não
lojapecanobre.com.br,,Não,Não
marcoduschradioshow.com,mercadoshops,Não,Não
minhaalexa.com,mercadoshops,Não,Não
amomaisquechocolate.com,mercadoshops,Não,Não
lojaminimalista.com,,Não,Não
voce3d.com.br,,Não,Não
rwoliveira.com.br,mercadoshops,Não,Não
triforceteam.com.br,mercadoshops,Não,Não
carretinhasbauru.com.br,,Não,Não
queijostudibom.com.br,nuvemshop,Sim,Não
dgamerenerd.com.br,mercadoshops,Não,Não
nformula.com.br,mercadoshops,Não,Não
procadmoda.com.br,mercadoshops,Não,Não
reidaborracharp.com.br,mercadoshops,Não,Não
cewwal.com.br,nuvemshop,Não,Não
vgcmaquinas.com.br,mercadoshops,Não,Não
gramachooffroad.com.br,nuvemshop,Não,Não
smartzee.com.br,,Não,Não
strondo.com.br,nuvemshop,Não,Não
xcomic.com.br,mercadoshops,Não,Não
cubasfarm.com.br,,Não,Não
bziclee.com,mercadoshops,Não,Não
valentinastorepet.com,shopify,Não,Não
dcastrosemijoias.com,mercadoshops,Não,Não
aguaparasaude.com.br,mercadoshops,Não,Não
sanzati.com,mercadoshops,Não,Não
radiotvindoor.com,mercadoshops,Não,Não
shoppleo.com,mercadoshops,Não,Não
destakejoias.com.br,nuvemshop,Não,Não
perfecteletrica.com,,Não,Não
alevo.tech,,Não,Não
lojapredilecta.com.br,mercadoshops,Não,Não
diferrer.com,,Não,Não
backlinksporassinatura.com.br,mercadoshops,Não,Não
comamaisqueijo.com,,Não,Não
arsenal-airsoft.store,,Não,Não
299equipamentos.com.br,mercadoshops,Não,Não
anosdouradosmoveis.com.br,mercadoshops,Não,Não
fmjogos.com,,Não,Não
vivianedestefano.com,shopify,Não,Não
keggi.com.br,mercadoshops,Não,Não
fmjogos.net,mercadoshops,Não,Não
allamar.com.br,nuvemshop,Não,Não
enviou.com.br,vtex,Não,Não
lucaslapa.com.br,nuvemshop,Não,Não
camisetasdeanime.com,nuvemshop,Não,Não
morenatropical.com.br,nuvemshop,Não,Não
plantamundo.com,nuvemshop,Não,Não
armazem2000.com.br,nuvemshop,Não,Não
adsiveshop.com.br,nuvemshop,Não,Não
vegpet.com.br,nuvemshop,Não,Não
perfumesdegrife.com.br,nuvemshop,Não,Não
papelariauniversitaria.com.br,nuvemshop,Não,Não
nephew.com.br,nuvemshop,Não,Não
santosmadeiras.com.br,nuvemshop,Não,Não
bentostore.com.br,nuvemshop,Sim,Não
vidamansa.com,nuvemshop,Não,Não
bediff.com.br,nuvemshop,Não,Não
vaiola.com.br,nuvemshop,Não,Não
melrosebrasil.com,nuvemshop,Não,Não
lojadoportabanner.com.br,nuvemshop,Não,Não
lojaotaku.com.br,nuvemshop,Sim,Não
cfcarehospitalar.com.br,nuvemshop,Não,Não
pulsao.com.br,nuvemshop,Não,Não
paghiper.com,vtex,Não,Não
useliverpool.com.br,nuvemshop,Não,Não
nagaragem.com.br,nuvemshop,Não,Não
liell.com.br,nuvemshop,Não,Não
tribike.com.br,nuvemshop,Não,Não
ciadomanequim.com.br,nuvemshop,Não,Não
oreidoscabelos.com.br,nuvemshop,Não,Não
vondutchoriginals.com.br,nuvemshop,Não,Não
hotfit.com.br,nuvemshop,Não,Não
bitsgames.com.br,nuvemshop,Não,Não
onoffstore.com.br,nuvemshop,Não,Não
selo180.com,nuvemshop,Não,Não
wad.com.br,nuvemshop,Não,Não
postermpb.com.br,nuvemshop,Não,Não
cafeclubstore.com.br,nuvemshop,Não,Não
contraponto.com.br,nuvemshop,Não,Não
lojagenial.com.br,nuvemshop,Não,Não
sakuraanimes.com.br,nuvemshop,Sim,Não
firstfloor.com.br,nuvemshop,Não,Não
drinfonet.com.br,nuvemshop,Não,Não
maayanot.com.br,nuvemshop,Não,Não
glamsacessorios.com.br,nuvemshop,Não,Não
techlineprofessional.com.br,nuvemshop,Não,Não
matrixeditora.com.br,nuvemshop,Não,Não
soundandvision.com.br,nuvemshop,Não,Não
aiya.com.br,nuvemshop,Não,Não
vuduloja.com,tray,Não,Não
floraloasis.com.br,nuvemshop,Não,Não
duefiori.com.br,nuvemshop,Não,Não
ofertacanibal.com.br,nuvemshop,Não,Não
bume.com.br,nuvemshop,Não,Não
eletroja.com.br,,Não,Não
artecrista.com.br,nuvemshop,Não,Não
paris7.com.br,nuvemshop,Não,Não
isabelamatte.com.br,nuvemshop,Não,Não
newtrendsstore.com,nuvemshop,Não,Não
agroagil.com.br,nuvemshop,Não,Não
traposefiapos.com.br,nuvemshop,Não,Não
apatamadrinha.com.br,nuvemshop,Não,Não
k9fashion.com.br,nuvemshop,Não,Não
babymania.com.br,nuvemshop,Não,Não
dermacosmetic.com.br,nuvemshop,Não,Não
por1fio.com.br,nuvemshop,Não,Não
realink.com.br,nuvemshop,Não,Não
lollabrasil.com.br,nuvemshop,Não,Não
luartemisia.com.br,nuvemshop,Não,Não
carrinhosbrasil.com.br,nuvemshop,Não,Não
recicleuse.com.br,nuvemshop,Não,Não
tabutinssementes.com.br,nuvemshop,Não,Não
mitchell.com.br,nuvemshop,Não,Não
lojalpc.org.br,nuvemshop,Não,Não
artepapel.com.br,nuvemshop,Não,Não
tecmac.com.br,nuvemshop,Não,Não
lycan.com.br,nuvemshop,Não,Não
litoraneus.com,nuvemshop,Não,Não
doloresiguacel.com.br,nuvemshop,Não,Não
shopmak.com.br,nuvemshop,Não,Não
ugrapress.com.br,nuvemshop,Não,Não
comercialuniverso.com.br,nuvemshop,Não,Não
getnuts.com.br,nuvemshop,Não,Não
